season,date,home,opponent,location_text,result_text,cnu_pts,opp_pts,cnu_fgm,cnu_fga,cnu_orb,cnu_drb,cnu_trb,cnu_to,opp_fgm,opp_fga,opp_orb,opp_drb,opp_trb,opp_to,cnu_first_half,opp_first_half,ot,box_url,win,goal_reb,goal_to,goal_orb,goal_def30,goals_hit
2014-2015,2015-01-21,1,"Mary Washington 3-13,","Newport News, Va. (Freeman Center)","Chris. Newport 53, Mary Washington 49",53,49,20,57,16,24,40,16,18,49,8,22,30,16,25,25,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm16.htm,1,1,0,1,1,3
2014-2015,2015-01-17,0,"Marymount (Va.) 13-2,","Arlington, Va. (Verizon Sports Arena)","Marymount (Va.) 62, Chris. Newport 60",60,62,21,43,10,18,28,15,21,46,14,18,32,11,36,29,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm15.htm,0,0,0,1,1,2
2014-2015,2015-01-14,1,"St. Mary's (Md.) 8-4,","Newport News, Va. (Freeman Center)","Chris. Newport 66, St. Mary's (Md.) 58",66,58,21,58,13,29,42,14,20,62,16,28,44,16,27,25,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm14.htm,1,0,1,0,1,2
2014-2015,2015-01-10,1,"Penn St. Harrisburg 2-11,","Newport News, Va. (Freeman Center)","Chris. Newport 81, Penn St. Harrisburg 58",81,58,27,61,14,29,43,12,21,54,9,24,33,14,39,23,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm13.htm,1,1,1,1,1,4
2014-2015,2015-01-06,0,"Wesley 5-7, 3-2 CAC","Dover, Del. (Wentworth Gymnasium)","Chris. Newport 75, Wesley 62",75,62,22,49,10,28,38,27,19,52,10,21,31,21,31,30,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm12.htm,1,1,0,0,0,1
2014-2015,2015-01-03,1,"York (Pa.) 3-8,","Newport News, Va. (Freeman Center)","Chris. Newport 95, York (Pa.) 61",95,61,34,61,11,22,33,15,17,46,12,20,32,22,41,35,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm11.htm,1,1,1,1,0,3
2014-2015,2014-12-30,1,Hood,"Newport News, Va. (Freeman Center)","Chris. Newport 75, Hood 68",75,68,25,54,12,28,40,14,20,54,9,21,30,12,26,17,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm10.htm,1,1,0,1,1,3
2014-2015,2014-12-29,1,Otterbein,"Newport News, Va. (Freeman Center)","Chris. Newport 71, Otterbein 55",71,55,22,59,12,27,39,11,22,56,9,32,41,18,37,27,1,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm09.htm,1,0,1,0,1,2
2014-2015,2014-12-17,0,"Salisbury 4-4, 1-2 CAC","Salisbury, Md. (Maggs PAC)","Salisbury 54, Chris. Newport 48",48,54,17,53,15,25,40,17,17,47,7,26,33,18,24,22,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm08.htm,0,1,1,1,1,4
2014-2015,2014-12-14,1,Va. Wesleyan,"Newport News, Va. (Freeman Center)","Va. Wesleyan 84, Chris. Newport 83 (OT)",83,84,31,58,13,28,41,20,28,66,13,21,34,14,34,31,1,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm07.htm,0,1,0,1,0,2
2014-2015,2014-12-06,0,"Frostburg State 4-3, 1-1 CAC","Frostburg, Md. (Bobcat Arena)","Chris. Newport 85, Frostburg State 67",85,67,32,67,16,28,44,14,26,69,17,23,40,13,41,27,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm06.htm,1,1,0,1,1,3
2014-2015,2014-12-03,1,Southern Virginia,"Newport News, Va. (Freeman Center)","Chris. Newport 89, Southern Virginia 79",89,79,22,45,10,23,33,18,28,57,11,25,36,24,40,44,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm05.htm,1,0,1,1,0,2
2014-2015,2014-11-30,0,Haverford,"Haverford, Pa. (Gooding '84 Arena)","Chris. Newport 71, Haverford 66",71,66,26,64,17,31,48,16,24,52,2,27,29,11,35,25,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm04.htm,1,1,0,1,1,3
2014-2015,2014-11-23,0,Lynchburg College,"Lynchburg, Va. (Turner Gymnasium)","Lynchburg College 90, Chris. Newport 66",66,90,21,67,18,17,35,17,27,51,8,31,39,17,28,48,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm03.htm,0,0,0,0,0,0
2014-2015,2014-11-21,0,Washington and Lee,"Lexington, Va. (Warner Center)","Chris. Newport 64, Washington and Lee 53",64,53,22,58,12,30,42,14,19,66,19,26,45,11,20,25,0,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm02.htm,1,0,0,0,1,1
2014-2015,2014-11-18,1,Randolph-Macon,"Newport News, Va. (Freeman Center)","Chris. Newport 71, Randolph-Macon 70 (OT)",71,70,24,59,11,28,39,13,24,57,13,25,38,13,31,32,1,https://static.cnusports.com/custompages/mbball/Stats/2014-2015/cnumgm01.htm,1,1,0,0,0,1
